Sura_No,Verse_No,Word_No,Segment_No,old_Segmented_Word,new_Segmented_Word
2,156,3,2,كم,هم
2,267,15,1,تيمم,يممو
4,62,3,2,كم,هم
5,13,4,1,نا,اه
6,6,9,1,نا,اه
7,10,2,1,نا,اك
9,42,12,3,يحلف,حلفو
9,83,2,1,ٍ,ك
9,103,11,1,صلا,لات
9,103,11,2,ة,ك
10,16,14,0,ال,ع
10,16,14,1,عمر,مرا
11,80,8,1,أ,و
11,94,11,2,ط,ت
12,32,15,1,أمر,مره
15,16,6,2,نا,اه
16,94,10,0,ف,و
20,94,4,1,لا,أخ
20,94,5,1,أخذ,لحي
20,94,5,5,ب,ت
20,94,5,7,ت,ي
22,41,3,1,نا,اه
37,102,18,1,ت,ف
40,38,5,0,قوم,اتب
40,38,5,6,تبع,عون
41,26,5,1,تسمع,سمعو
46,26,2,1,نا,اه
46,26,5,1,نا,اك
50,6,8,2,نا,اه
51,15,3,0,على,في
51,29,3,0,على,في
51,40,4,0,على,في
53,36,5,0,على,في
54,43,8,0,على,في
55,29,3,0,على,في
56,42,1,0,على,في
58,8,27,0,على,في
58,11,8,0,على,في
59,14,5,0,على,في
59,17,4,0,على,في
59,24,12,0,على,في
60,1,29,0,على,في
60,4,6,0,على,في
60,8,8,0,على,في
60,9,7,0,على,في
60,12,29,0,على,في
61,1,4,0,على,في
61,1,7,0,على,في
61,4,6,0,على,في
61,11,5,0,على,في
61,12,12,0,على,في
62,1,4,0,على,في
62,1,7,0,على,في
62,2,4,0,على,في
62,10,5,0,على,في
64,1,4,0,على,في
64,1,7,0,على,في
64,4,3,0,على,في
66,11,15,0,على,في
67,3,8,0,على,في
67,9,16,0,على,في
67,10,9,0,على,في
67,15,8,0,على,في
67,16,3,0,على,في
67,17,4,0,على,في
67,20,14,0,على,في
67,21,10,0,على,في
67,24,5,0,على,في
67,29,11,0,على,في
69,11,6,0,على,في
69,13,3,0,على,في
69,21,2,0,على,في
69,24,6,0,على,في
69,32,2,0,على,في
70,4,5,0,على,في
70,14,2,0,على,في
70,24,2,0,على,في
71,7,8,0,على,في
72,10,7,0,على,في
72,12,7,0,على,في
73,7,3,0,على,في
73,20,38,0,على,في
101,9,2,0,ال,ه
101,9,2,1,هاوي,اوية
